year,state,num_below_fpl,population,percap_num_below_fpl
2002,Washington,262555.0,6052349.0,0.0433806774857167
2002,West Virginia,126612.0,1805414.0,0.07012906734964944
2002,Wisconsin,198244.0,5445162.0,0.036407364923210735
2002,Wyoming,23002.0,500017.0,0.04600243591717881
2003,Alabama,310443.0,4503491.0,0.06893385597972773
2003,Alaska,20194.0,648414.0,0.031143682893953556
2003,Arizona,276130.0,5510364.0,0.05011102714811581
2003,Arkansas,164303.0,2724816.0,0.06029875044773665
2003,California,1414609.0,35253159.0,0.04012715569688379
2003,Colorado,181602.0,4528732.0,0.04009996617154647
2003,Connecticut,108483.0,3484336.0,0.03113448301197129
2003,Delaware,25533.0,818003.0,0.031213821954198213
2003,District of Columbia,45505.0,568502.0,0.0800436937776824
2003,Florida,850573.0,17004085.0,0.05002168596546065
2003,Georgia,418167.0,8622793.0,0.04849553967026693
2003,Hawaii,47118.0,1251154.0,0.03765963262715861
2003,Idaho,66540.0,1363380.0,0.04880517537297012
2003,Illinois,513232.0,12556006.0,0.040875418504897176
2003,Indiana,255058.0,6196638.0,0.0411607068219896
2003,Iowa,126214.0,2941999.0,0.042900762372794825
2003,Kansas,119569.0,2723004.0,0.04391069568755683
2003,Kentucky,283099.0,4117170.0,0.06876058069013424
2003,Louisiana,339451.0,4521042.0,0.07508246992618073
2003,Maine,61419.0,1306513.0,0.047009865190778814
2003,Maryland,174997.0,5496269.0,0.03183923494283122
2003,Massachusetts,259156.0,6422565.0,0.04035085670600453
2003,Michigan,441079.0,10041152.0,0.04392713107021983
2003,Minnesota,173146.0,5053572.0,0.03426210213290718
2003,Mississippi,207948.0,2868312.0,0.07249838929656188
2003,Missouri,280364.0,5709403.0,0.049105659558451205
2003,Montana,50019.0,919630.0,0.05439035264182334
2003,Nebraska,78283.0,1738643.0,0.04502534447842369
2003,Nevada,88260.0,2248850.0,0.039246726104453386
2003,New Hampshire,41356.0,1279840.0,0.032313414176772096
2003,New Jersey,256524.0,8601402.0,0.029823510167295984
2003,New Mexico,122137.0,1877574.0,0.06505043210014626
